Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion
Computers and Laptops,"Kabel Power Adaptor Charger Laptop 3 Lubang",Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy
Computers and Laptops,"Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G",Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy
Computers and Laptops,"Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3",Kota Bandung,127880,4.9,1257,700,5,"bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch",Positive,Happy
Computers and Laptops,"Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3",Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,"Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??",Positive,Happy
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,"barang udah sampai ya gan dan berfungsi. terima kasih",Positive,Happy
Computers and Laptops,"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook",Kota Depok,55000,4.8,13900,6671,5,"barang mantap sesuai deskripsi laptop jadi adem n sejuk",Positive,Happy
Computers and Laptops,"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook",Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy
Computers and Laptops,"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook",Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy
Computers and Laptops,"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook",Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy
Computers and Laptops,"Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND",Jakarta Barat,74900,4.7,3713,2153,5,"mantab barang nya oke punya",Positive,Happy
Computers and Laptops,"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad",Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy
Computers and Laptops,"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad",Jakarta Barat,112000,4.9,5988,2969,5,"silent dan bagus untuk pekerjaan ringan",Positive,Happy
Computers and Laptops,"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad",Jakarta Barat,112000,4.9,5988,2969,5,"Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????",Positive,Happy
Computers and Laptops,"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad",Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi",Positive,Happy
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????",Positive,Happy
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy
Computers and Laptops,"MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289",Jakarta Utara,15000,4.9,690,338,5,"Sangat presisi dan pas",Positive,Happy
Computers and Laptops,"MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289",Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy
Computers and Laptops,"MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289",Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,"Mantap barangnya cepet sampai dan enak digunainnya!",Positive,Happy
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy
Computers and Laptops,"Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV",Jakarta Utara,53500,4.9,5449,2369,5,"Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????",Positive,Happy
Computers and Laptops,"Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV",Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy
Computers and Laptops,"Logitech M191 Mouse Wireless Full Size - Mid Grey",Jakarta Timur,119000,4.9,9777,5546,1,"Sangat kecewa. Baru 4 bulan scroll sudah rusak.",Negative,Sadness
Computers and Laptops,"Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S",Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness
Computers and Laptops,"Kabel Power Adaptor Charger Laptop 3 Lubang",Jakarta Pusat,25000,4.9,2122,828,1,"gak bisa di pakai??",Negative,Sadness
Computers and Laptops,"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad",Jakarta Barat,112000,4.9,5988,2969,1,"Kecewa parah nggk berkah jualan gitu",Negative,Sadness
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"kecewa penjual ga tanggung jawab komplen berhari� gada solusi",Negative,Sadness
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness
Computers and Laptops,"CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1",Kota Bandung,99000,4.9,1848,952,1,"Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.",Negative,Sadness
Computers and Laptops,"Screen Guard (Protector) Anti Gores MacBook - A2141",Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness
Computers and Laptops,"Screen Guard (Protector) Anti Gores MacBook - A2141",Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness
Computers and Laptops,"SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s",Jakarta Pusat,279000,5,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness
Computers and Laptops,"SanDisk Extreme SDHC UHS-I Card 32GB",Jakarta Pusat,119000,5,2215,1010,1,"Data sering error dan hilang ??",Negative,Sadness
Computers and Laptops,"Logitech MK275 Wireless Keyboard Mouse Combo",Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness
Computers and Laptops,"Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live",Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness
Computers and Laptops,"Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live",Jakarta Barat,188000,4.9,3451,1651,1,"Mic dari awal ga nyala",Negative,Sadness
Computers and Laptops,"SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter",Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness
Computers and Laptops,"SSD 128GB RX7 GARANSI RESMI 3THN",Kota Tangerang,210000,5,15400,3486,1,"Kecepatan tdk sesuai dgn deskripsi",Negative,Sadness
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"tidak berfugsi",Negative,Sadness
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"infra red nya jelek suka mental ke mana2",Negative,Sadness
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"Batre tidak sesuai ukuran dan tidak ada nano receiver.",Negative,Sadness
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"boros batre",Negative,Sadness
Computers and Laptops,"HTB-3100 25km single fiber mode transceiver Optical Media Converter",Jakarta Utara,150000,4.9,5384,634,1,"barang error 1",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"tdk sesuai ekspektasi",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"lambat",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Negative,Sadness
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"Tidak sesuai",Negative,Sadness
Computers and Laptops,"SSD 256GB RX7 SATA",Kota Tangerang,370000,5,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Negative,Sadness
Computers and Laptops,"SSD 256GB RX7 SATA",Kota Tangerang,370000,5,6449,2425,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",Negative,Sadness
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"kurang bagus... colok hardisk external tdk terdeteksi..",Negative,Sadness
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness
Computers and Laptops,"Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box",Jakarta Utara,56000,4.8,18300,5431,1,"Produk kurang baik, dan rusak",Negative,Sadness
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",Negative,Sadness
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Negative,Sadness
Computers and Laptops,"Rexus Q20 Mouse Wireless Office Silent Click - Hitam",Jakarta Barat,50000,4.9,1790,848,1,"mousenya kurang responsif. jd harus teken agak kuat",Negative,Sadness
Computers and Laptops,"Rexus Q20 Mouse Wireless Office Silent Click - Hitam",Jakarta Barat,50000,4.9,1790,848,1,"baru pake 2 bulan sensornya udah jelek suka kemana2",Negative,Sadness
Computers and Laptops,"Logitech M191 Mouse Wireless Full Size - Mid Grey",Jakarta Timur,299000,4.9,9798,5559,1,"Sangat kecewa. Baru 4 bulan scroll sudah rusak.",Negative,Sadness
Computers and Laptops,"Logitech M191 Mouse Wireless Full Size - Mid Grey",Jakarta Timur,299000,4.9,9798,5559,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Negative,Sadness
Computers and Laptops,"Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI",Jakarta Pusat,230000,4.9,1408,721,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",Negative,Anger
Computers and Laptops,"Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original",Jakarta Utara,66000,4.8,2702,882,1,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",Negative,Anger
Computers and Laptops,"Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G",Jakarta Pusat,55000,4.9,2010,970,1,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Negative,Anger
Computers and Laptops,"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook",Kota Depok,55000,4.8,13900,6671,1,"Barang Rusak , Ga Guna Sama Sekali ... Parah",Negative,Anger
Computers and Laptops,"Logitech MK275 Wireless Keyboard Mouse Combo",Jakarta Timur,200000,4.9,3225,1528,3,"cepet rusak, kadang konek kadang engga",Negative,Anger
Computers and Laptops,"Logitech G102 Lightsync Gaming Mouse [FS] - Hitam",Jakarta Pusat,379000,4.9,3185,1829,3,"barang gajelas lama sampai, kotak penyok�",Negative,Anger
Computers and Laptops,"SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter",Jakarta Pusat,75900,4.9,6754,3507,1,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",Negative,Anger
Computers and Laptops,"SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter",Jakarta Pusat,75900,4.9,6754,3507,1,"Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA",Negative,Anger
Computers and Laptops,"Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU",Jakarta Selatan,85000,4.9,7834,4099,1,"beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL",Negative,Anger
Computers and Laptops,"Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU",Jakarta Selatan,85000,4.9,7834,4099,1,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",Negative,Anger
Computers and Laptops,"Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU",Jakarta Selatan,85000,4.9,7834,4099,1,"BARANG KW JANGAN BELI DISINI",Negative,Anger
Computers and Laptops,"Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau",Jakarta Utara,90000,4.8,4563,1811,1,"buruk",Negative,Anger
Computers and Laptops,"SanDisk Cruzer Blade 16GB CZ50 Flashdisk",Jakarta Pusat,82500,4.9,35900,6630,1,"barang bosok! sekali Pake rusak.. mau claim dijawab berbelit ama adminnya",Negative,Anger
Computers and Laptops,"Telkomsel Orbit Star 2",Kota Tangerang,629000,4.8,5998,3441,1,"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",Negative,Anger
Computers and Laptops,"Xiaomi Mi Wifi Wireless Extender Pro Repeater Amplifier R03 Original",Jakarta Barat,129000,4.9,13300,5723,1,"GA DIKASIH ADAPTOR GEPENG NYA. KETIPU SAYA",Negative,Anger
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"jir sehari pake udah rusak :( quality control dong yg bener ahelah",Negative,Anger
Computers and Laptops,"SSD 256GB RX7 SATA",Kota Tangerang,370000,5,6449,2425,1,"Ini gmn, ssd nya gak bisa di pake.... Sy minta ganti...",Negative,Anger
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,4760,1,"beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi CS nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",Negative,Anger
Computers and Laptops,"Vention High Speed USB 3.0 Hub for Windows Mac Linux - CHK 0.15 Meter",Jakarta Barat,119500,4.9,10200,5373,1,"tidak sesuai gambar.... Janggan percaya ama Seller ini penipu..... kualitas jelek.....",Negative,Anger
Computers and Laptops,"Laptop Stand Holder Lipat Adjustable Anti Slip Portable Untuk Laptop",Kab. Tangerang,69900,4.3,5108,2852,1,"tolong pengiriman punya rasa tanggung jawab, ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah",Negative,Anger
Computers and Laptops,"Rexus GX2 Gladius Pro Gaming Gamepad - Joystick / Stick - Hitam",Jakarta Barat,149000,4.9,2022,1193,1,"l2 r2 trigger nya ampas macam ***",Negative,Anger
Computers and Laptops,"Samsung MicroSD Evo Plus 32GB 64GB 128GB 256GB 512GB 1TB Memory card - 64 gb, MicroSD Only",Jakarta Pusat,121000,4.9,9298,5206,1,"jelek",Negative,Anger
Computers and Laptops,"SPC Monitor Komputer LED 19 inch HD, Garansi Resmi",Jakarta Barat,1509000,4.9,2487,943,1,"Barang SAMPAH ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di TONG SAMPAH. Sangat MENGECEWAKAN, admin TIDAK MERESPON SAMA SEKALI CHAT SAYA. lihat barang yg dikirimkan, ada dead pixel, LALU LAYAR MONITORNYA KEBALIK. SANGAT MENGECEWAKAN. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yg bagus. SAYA SANGAT MENYESAL BELANJA DI SINI. SAYA TIDAK MEREKOMENDASIKAN BELANJA DISINI.",Negative,Anger
Computers and Laptops,"Prolink PRT7011L Portable 4G LTE Modem WiFi Mifi Hotspot - Plus PTC21801",Jakarta Utara,1040000,4.9,444,251,1,"TidAk jujur dan kelihatan kalau memaksakan barang terjual. Barang dikirim tidak sesuai pesanan. Dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",Negative,Anger
Computers and Laptops,"Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI - Hitam",Jakarta Timur,699000,5,8059,4581,1,"Beli tgl 9. Pesanan Selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain dari toped lagi. admin ditanyain gmna cara klaim garansi SANGAT TIDAK MEMBANTU, chat hari ini bales besok.da dibales gk di jawab2 lagi",Negative,Anger
