Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,review_jawa_ngoko
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,"Pengiriman cepet banget, produk apik, penjual direkomendasi, matur nuwun."
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,"Alhamdulillah, barang wis teka... wis dicoba, apik... muga-muga awet... matur nuwun kanggo penjual, kurir, lan Tokopedia..."
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy,"Penjual bisa dipercaya, cepet nanggapi. Kabelé bisa digunakaké kanthi apik. Kiriman cepet. Matur nuwun."
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,"Alhamdulillah, barang wis teka. Bisa digunakake. Muga-muga bisa mlaku kanthi apik lan awet. Kuriré apik. Muga-muga usahane terus maju."
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,Apik. mlaku lancar lan cukup sepi. Kuat lan pas kanggo laptop 16 inci.
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,"Bungkusan aman, pangiriman cepet, lan barang bisa digunakake kanthi apik."
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,"Produk apik lan kualitasé unggul. Produk teka ing kahanan apik. Regané pantes, dadi sakabèhé apik banget!"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,Barang wis teka lan bisa digunakake. Matur nuwun.
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,"Produk iki apik banget, kaya sing diterangake. Laptop tetep adem lan nyaman."
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,Aku nampa produk ing kahanan apik. Matur nuwun ^^
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,"Tuku kaping pindho, tansah wareg. Pangiriman lumayan cepet. Sakabehe, pancen apik tenan"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy,"Kualitas produk apik, regane relatif terjangkau, pangiriman cepet banget, tanggapan penjual apik, penjual direkomendasi, 5 lintang, matur nuwun, mugi dagangan panjenengan lancar, amin ??????."
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,Produk iki apik banget.
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,"Pangiriman cepet, bungkusan rapi, kualitas apik banget"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,Sunyi lan apik kanggo gawean entheng.
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive,Happy,Produk teka kanthi cepet. Kualitas apik lan pangiriman aman tanpa karusakan. Apik tenan ??????
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,"Apik, kualitas dhuwur, kaya sing katon ing gambar. Matur nuwun, Penjual, Tokped, lan Kurir"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,"Kipas apik, kuat, lan produké kualitasé dhuwur kanggo regané."
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,"Proses produksi lan pangiriman apik banget, barang cocog karo katrangan"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,"Kipas apik, kuat, produk kualitas dhuwur sing cocog karo regane"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive,Happy,"Penjual ramah, sabar nglayani panuku, lan menehi macem-macem saran sing bisa uga ora dingerteni panuku... Apik tenan!"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,"Barangé teka kanthi cepet, bungkusané rapi lan aman banget, ora ana bagéan akrilik sing pecah. Fungsiné apik. Muga-muga awet."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,Presisi banget lan pas tenan.
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,"Sanget wareg, penjual mbiyantu, tanggap banget, lan pangiriman cepet banget. Rekomendasi banget..."
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,"Apik tenan, tanggapane uga nyenengake. Wis dites lan dipasang kanthi tepat lan nyaman. Layanan pelanggan uga cepet nanggapi."
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,"Produk apik, teka kanthi cepet lan nyenengake kanggo digunakake!"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,"Produk apik, cukup apik, lan pangiriman uga cepet"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy,"Pengiriman cepet, penjual tanggap ??"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive,Happy,"Produk iki bisa digunakake kanthi apik. Pemilik toko banget tanggap lan mbiyantu nalika ana masalah cilik. Muga-muga sukses terus kanggo tokom, kanca!"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,"Penjualé istimewa. Bungkusané apik, pangiriman cepet, lan sing paling penting, produké cocog karo katrangan lan bisa digunakaké kanthi apik. Matur nuwun."
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,Kuciwa banget. Gulungané rusak mung sawisé 4 wulan.
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,"Kualitas ala, mesthi dudu asli. Taplak mouse ora bisa digunakake nalika ngisi daya, nyebabake geter parah. Produk ora cocog karo foto, kaya sing ana ing lapak jejere regane 80.000 IDR. Sadurunge, aku wis tuku kabel USB ing kene lan apik, persis kaya foto karo indikator ing pucuk charger. Mula aku pesen maneh ing kene, sanajan rada luwih mahal, nanging produké ternyata beda karo pesenan sadurunge."
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,Ora bisa digunakake??
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,"Kuciwa banget, iki dudu berkah kanggo penjual."
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,Kuciwa amarga penjual ora tanggung jawab karo keluhan; ora ana solusi sawise pirang-pirang dina.
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,"Nalika aku tuku, aku takon jinis endi sing kanggo MacBook Pro 13 inci M1 ing variasi, lan penjual ngomong ""new pro 13"". Nalika teka, casing-e kakehan cilik amarga jinise salah. Penjual nggunakake akèh alesan lan nolak tanggung jawab, sanajan iku kesalahane penjual. Kuciwa, aku ora bakal tuku maneh ing kene. Wong-wong kuwi ora tanggung jawab."
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,"Barangé suwé banget teka, sanajan mung ing sak kutha. Sarungé gampang copot. Tenan kuciwa."
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,Kuciwa belanja ing kene. Sing diorder beda karo sing diantar.
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,Ora ana tisu pembersih utawa piranti liyane kanggo mbantu pasang. Kuciwa banget.
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,"Aku tuku barang sing salah, nanging toko ora gelem kompromi babar pisan. Sanajan barangé isih disegel, aku kuciwa banget."
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1010,1,Data sering error dan hilang ??,Negative,Sadness,Data kerep keliru lan ilang??
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,"Kuciwa karo toko resmi iki. Ora ngerti kenapa pesenan pisanan ora dikonfirmasi lan dibatalake dening sistem amarga ora ana tanggapan babar pisan. Pesenan kapindho amarga toko ngomong supaya pesen maneh, lan mung dikonfirmasi nanging ora dikirim nganti mung ana 10 menit maneh sadurunge dibatalake maneh dening sistem. Untunge, matur nuwun amarga ngobrol karo layanan pelanggan Tokopedia, barang kasebut pungkasane dikirim ing menit pungkasan. Ora mung kuwi—barangé ora dijupuk kurir nganti tanggal 5, lan proses njupuké luwih saka rong dina. Proses pangiriman uga alon, sanajan paketé wis liwat omahku tanggal 9 jam 9 bengi??"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,"Bungkusané ora cukup aman, mung ana siji lapisan bubble wrap lan siji lapisan plastik tambahan, nganti barangé teka pecah."
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,Mikrofoné ora bisa digunakaké wiwit wiwitan.
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,"Kertu SD mung 29,71 GB, konon resmi, nanging saktenane palsu. Kuciwa, iki dudu asli."
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5.0,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,Kacepetané ora cocog karo katrangan.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,Ora bisa digunakake.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness,Mouse-e kualitasé ala; panunjuké obah dhéwé.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,Inframerahé ringkih lan terus mlipir-mlipir.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,Baterai ora pas lan ora ana nano receiver.
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,Baterai cepet entek
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,Kesalahan produk 1.
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,Jaringané banget alon; luwih becik nganggo Indihome. Aku nyesel tuku Orbit; jaringané elek tenan.
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,Ora cocog karo pangarepan.
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,Alon.
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Negative,Sadness,"Padha kandha aku bakal entuk paket 150 GB, nanging sawisé ndhaptar mung 300 MB.."
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Negative,Sadness,"Ora bisa ndaftar. Call centre lan tim Orbin ora mbiyantu. Nalika aku mung takon informasi babagan cabang Orbin sing mbukak lan nomer telponé, padha ngomong aku kudu nggoleki ing Google. Dudu amarga aku ora gelem nggoleki, nanging akèh nomer telponé ora bisa dihubungi, dadi apa salahé menehi informasi sing bener? Aku nyesel tuku Orbit. Call centre lan tim Orbin ora mbiyantu. Nalika aku mung njaluk informasi babagan toko Orbin sing mbukak lan nomer telponé, padha ngomong aku kudu nggoleki ing Google tinimbang mbantu aku. Umume nomer telpon sing diwenehake ora bisa dihubungi, dadi apa salahé menehi informasi sing valid? Aku nyesel tuku Orbin."
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Tidak sesuai,Negative,Sadness,Ora kaya sing dijanjekake
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5.0,6449,2425,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Negative,Sadness,"Sampeyan janji bakal ngirim langsung amarga kita butuh banget, nanging sampeyan nutup toko lan mung ngirim mengko. Paket teka ing wayah bengi. Nalika kita nyoba dina sabanjure, SSD-e ora diakoni. Sampeyan kandha bakal ngirim menyang toko supaya bisa dikirim maneh langsung. Kabeh ana ing Tangerang, lan biaya kirim instan Gojek mung 33.000 IDR, sing artine cedhak. Nanging, ora dikirim nganti rong minggu sadurunge pungkasane teka. Cetha manawa iki ditundha kanthi sengaja. Ora profesional tenan ing dodolan online; sanajan adol barang cacat, ora ana pangapunten. Lan minangka cathetan pungkasan, aku nganggep iki penipuan lan kikir amarga kita kudu mbayar biaya kirim nalika barang teka. Kanthi kahanan iki, lali wae bab garansi produk kanggo diganti yen mengko rusak..."
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5.0,6449,2425,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",Negative,Sadness,"Tuku 2 SSD, 1 teka rusak"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"Ora bisa digunakake, nanging ya wis, sanajan wis nyambungake daya liwat charger HP micro USB, isih ora bisa digunakake"
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,kurang bagus... colok hardisk external tdk terdeteksi..,Negative,Sadness,Ora apik... Hard drive eksternal ora kadeteksi nalika disambungake.
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,7957,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative,Sadness,"Ora bisa digunakake, nanging ya wis, sanajan wis nyambungake daya nganggo charger HP micro USB, isih ora bisa digunakake"
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Jakarta Utara,56000,4.8,18300,5431,1,"Produk kurang baik, dan rusak",Negative,Sadness,Produk iki kurang apik lan rusak
