"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"Alice Adams",6.693,"1935-08-23",770000,342000,"en","In the lower-middle-class Adams family, father and son are happy to work in a drugstore, but mother and daughter Alice try every possible social-climbing stratagem despite snubs and embarrassment. When Alice finally meets her dream man Arthur, mother nags father into a risky business venture and plans to impress Alice's beau with an """"upscale"""" family dinner. Will the excruciating results drive Arthur away?","Romance, Drama"
"Anna Karenina",6.613,"1935-08-30",1439000,1152000,"en","In 19th century Russia a woman in a respectable marriage to a senior statesman must grapple with her love for a dashing soldier.","Drama, History, Romance"
"Mutiny on the Bounty",7.35,"1935-11-22",4460000,1950000,"en","Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on revenge.","Adventure, Drama, History"
"Sylvia Scarlett",6.43,"1935-12-25",497000,641000,"en","When her father decides to flee to England, young Sylvia Scarlett must become Sylvester Scarlett and protect her father every step of the way, with the questionable help of plenty others.","Comedy, Drama, Romance"
"Modern Times",8.295,"1936-02-05",1800000,1500000,"en","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..","Comedy, Drama"
"Follow the Fleet",6.9,"1936-02-20",2727000,747000,"en","When the fleet puts in at San Francisco, sailor Bake Baker tries to rekindle the flame with his old dancing partner, Sherry Martin, while Bake's buddy Bilge Smith romances Sherry's sister, Connie. But it's not all smooth sailing—Bake has a habit of losing Sherry's jobs for her and, despite Connie's dreams, Bilge is not ready to settle down.","Comedy, Music, Romance"
"Little Lord Fauntleroy",7,"1936-03-06",1037000,590000,"en","An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather.","Drama, Family"
"Fury",7.5,"1936-06-05",1300000,604000,"en","Joe, who owns a gas station along with his brothers and is about to marry Katherine, travels to the small town where she lives to visit her, but is wrongly mistaken for a wanted kidnapper and arrested.","Crime, Drama"
"Mary of Scotland",6.5,"1936-07-28",1276000,864000,"en","The recently widowed Mary Stuart returns to Scotland to reclaim her throne but is opposed by her half-brother and her own Scottish lords.","Drama, History, Romance"
"The Charge of the Light Brigade",6.5,"1936-10-20",2736000,1200000,"en","In 1853, as the British and Russian empires compete to gain and maintain their place in the dreadful Great Game of political intrigues and alliances whose greatest prize is the domination of India and the border territories, Major Geoffrey Vickers must endure several betrayals and misfortunes before he can achieve his revenge at the Balaclava Heights, on October 25, 1854, the most glorious day of the Crimean War.","Drama, Adventure, War"
"A Family Affair",6,"1937-03-12",502000,178000,"en","Judge Hardy faces problems at work and at home. Powerful men in town are upset with his decisions and want to see him impeached; his daughters, Joan and Marion, have romantic problems; and his son, Andy discovers Polly Benedict. As usual, Judge Hardy is concerned with everyone in the family and lends wisdom and calmness to all.","Comedy"
"The Woman I Love",0,"1937-04-15",783000,725000,"en","In World War I France, a pilot falls in love with the wife of his friend and superior officer.","Drama"
"Night Must Fall",7.2,"1937-04-30",1015000,589000,"en","Wealthy widow Mrs. Bramson notices that her maid is distracted, and when she learns the girl's fiancé, Danny, is the reason, she summons him in. Mrs. Bramson's niece Olivia takes a liking to Danny, and comes to believe that he may have been involved in the disappearance of a local woman.","Mystery, Thriller, Romance"
"The Toast of New York",5.818,"1937-07-22",1050000,1070000,"en","After the American Civil War, Jim Fisk, a former peddler and cotton smuggler, arrives in New York, along with his partners Nick and Luke, where he struggles to make his way through the treacherous world of Wall Street's financial markets.","Comedy, Drama, History"
"Saratoga",6.3,"1937-07-23",3252000,1100000,"en","A horse breeder's granddaughter falls in love with a gambler in Saratoga Springs, N.Y.","Drama, Romance, Comedy"
"Big City",7.4,"1937-09-03",1601000,621000,"en","Anna and Joe are newly married, playful and deeply in love. Joe is scraping by as cab driver in New York City during a period of corruption, mob control and violence between cab companies.","Drama"
"Stage Door",6.912,"1937-10-07",1762000,952000,"en","The ups and downs in the lives and careers of a group of ambitious young actresses and show girls from disparate backgrounds brought together in a theatrical hostel. Centres particularly on the conflict and growing friendship between Terry Randall, a rich girl confident in her talent and ability to make it to the top on the stage, and Jean Maitland, a world weary and cynical trouper who has taken the hard knocks of the ruthless and over-populated world of the Broadway apprentice.","Comedy, Drama"
"The Bride Wore Red",6.738,"1937-10-08",1200000,960000,"en","A poor singer in a bar masquerades as a rich society woman thanks to a rich benefactor.","Comedy, Drama, Romance"
"The Awful Truth",7.255,"1937-10-20",3000000,600000,"en","Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.","Comedy, Romance"
"A Damsel in Distress",6.4,"1937-11-19",1465000,1035000,"en","Lady Alyce Marshmorton must marry soon, and the staff of Tottney Castle have laid bets on who she'll choose, with young Albert wagering on 'Mr. X'. After Alyce goes to London to meet a beau she is restricted to the castle to curb her scandalous behavior. Albert then summons Jerry to Alyce's aid in order to 'protect his investment'.","Music, Comedy, Romance"
"Algiers",6.5,"1938-01-16",951801,691833,"en","Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko has become a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby, which arouses the jealousy of Ines.","Drama, Mystery, Romance, Crime"
"The Adventures of Marco Polo",5.9,"1938-04-07",1700000,2000000,"en","The Venetian traveler Marco Polo meets Kublai Khan and foils a plotter with fireworks in medieval China.","Romance, Adventure"
"The Adventures of Robin Hood",7.45,"1938-05-13",3981000,2033000,"en","Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.","Adventure, Romance, History"
"Carefree",6.7,"1938-09-02",1731000,1253000,"en","Dr. Tony Flagg's friend Steven has problems in the relationship with his fiancée Amanda, so he persuades her to visit Tony. After some minor misunderstandings, she falls in love with him. When he tries to use hypnosis to strengthen her feelings for Steven, things get complicated.","Comedy, Music, Romance"
"Trade Winds",6.333,"1938-12-28",964404,738733,"en","After committing a murder, Kay assumes a new identity and boards a ship. But, Kay is unaware that Sam, a skirt chasing detective, is following her and must outwit him to escape imprisonment.","Romance, Comedy, Mystery"
"Stagecoach",7.645,"1939-03-03",1103757,531374,"en","A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.","Western, Adventure"
"Bachelor Mother",7.1,"1939-06-30",1975000,509000,"en","Polly Parrish, a clerk at Merlin's Department Store, is mistakenly presumed to be the mother of a foundling. Outraged at Polly's unmotherly conduct, David Merlin becomes determined to keep the single woman and """"her"""" baby together.","Comedy, Romance"
"Winter Carnival",6,"1939-07-28",474286,412640,"en","A divorced glamour girl keeps warm with a professor amid sports and romance at Dartmouth College's Winter Carnival.","Romance, Comedy, Drama"
"The Women",7.064,"1939-09-01",2270000,1688000,"en","A happily married woman lets her catty friends talk her into divorce when her husband strays.","Comedy, Drama"
"Gone with the Wind",8,"1939-12-15",402352579,4000000,"en","The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.","Drama, War, Romance"
"The Hunchback of Notre Dame",7.2,"1939-12-29",6877900,1800000,"en","Paris, France, 1482. Frollo, Chief Justice of benevolent King Louis XI, gets infatuated by the beauty of Esmeralda, a young Romani girl. The hunchback Quasimodo, Frollo's protege and bell-ringer of Notre Dame, lives in peace among the bells in the heights of the immense cathedral until he is involved by the twisted magistrate in his malicious plans to free himself from Esmeralda's alleged spell, which he believes to be the devil's work.","Drama, Romance, Horror"
"The House Across the Bay",5.346,"1940-03-01",684374,713965,"en","Nightclub owner Steve Larwitt sees his empire of investments collapse as he faces tax evasion charges and attacks by rivals. Believing Steve will be safer in prison for one year, his wife, Brenda, testifies against him on advice from his lawyer, Slant Kolma, who is in love with her. After Steve receives 10 years in Alcatraz, Brenda moves to be near him and avoids advances of airplane builder Tim Nolan, who knows nothing about her past.","Drama"
"The Grapes of Wrath",7.838,"1940-03-15",1591000,800000,"en","Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.","Drama"
"Rebecca",7.915,"1940-03-23",7592465,1288000,"en","Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.","Mystery, Romance, Thriller, Drama"
"Virginia City",6,"1940-03-23",2372567,1179000,"en","Union officer Kerry Bradford escapes from a Confederate prison and races to intercept $5 million in gold destined for Confederate coffers. A Confederate sympathizer and a Mexican bandit, each with their own stake in the loot, stand in his way.","Western, Action, Romance"
"My Favorite Wife",6.969,"1940-05-17",2057000,921000,"en","Seven years after a shipwreck in which she was presumed dead, Ellen Arden arrives home to find that her husband Nick has just remarried. The overjoyed Nick struggles to break the news to his new bride. But he gets a shock when he hears the whole story: Ellen spent those seven years alone on a desert island with another man.","Comedy, Romance"
"Waterloo Bridge",7.556,"1940-05-17",2500000,1200000,"en","On the eve of World War II, a British officer revisits Waterloo Bridge and recalls the young man he was at the beginning of World War I and the young ballerina he met just before he left for the front. Myra stayed with him past curfew and is thrown out of the corps de ballet. She survives on the streets of London, falling even lower after she hears her true love has been killed in action. But he wasn't killed. Those terrible years were nothing more than a bad dream is Myra's hope after Roy finds her and takes her to his family's country estate.","Drama, Romance, War"
"They Drive by Night",6.9,"1940-07-26",1596000,539000,"en","Joe and Paul Fabrini are Wildcat, or independent, truck drivers who have their own small one-truck business. The Fabrini boys constantly battle distributors, rivals and loan collectors, while trying to make a success of their transport company.","Drama, Crime"
"The Sea Hawk",7.142,"1940-08-10",2000000,1700000,"en","Dashing pirate Geoffrey Thorpe plunders Spanish ships for Queen Elizabeth I and falls in love with Dona Maria, a beautiful Spanish royal he captures.","Adventure, History, Romance"
"Boom Town",7,"1940-08-30",5000000,1600000,"en","Two buddies who rise from fly-by-night wildcatters to oil tycoons over a twenty year period both love the same woman. McMasters and Sand come to oil towns to get rich. Betsy comes West intending to marry Sand but marries McMasters instead. Getting rich and losing it all teaches McMasters and Sand the value of personal ties.","Adventure, Drama, Romance, Western"
"The Great Dictator",8.3,"1940-10-15",11000000,2000000,"en","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","Comedy, War"
"Love Crazy",7.4,"1941-05-23",2000000,889900,"en","Circumstance, an old flame and a mother-in-law drive a happily married couple to the verge of divorce and insanity.","Comedy, Romance"
"Tom, Dick and Harry",5.2,"1941-06-13",1628000,806000,"en","Janie is a telephone operator who is caught up in the lines of love of three men: car salesman Tom, Chicago millionaire Dick and auto mechanic Harry. But Janie just can't seem to make up her mind between them. While fantasizing about her futures with each of the men, Janie spends her time desperately trying to juggle between them until she can make a decision.","Comedy, Romance"
"Sergeant York",7.206,"1941-09-27",16361885,1400000,"en","Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.","War, Drama"
"The Maltese Falcon",7.716,"1941-10-18",1772000,375000,"en","A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.","Mystery, Crime, Thriller"
"How Green Was My Valley",7.242,"1941-10-28",6000000,1250000,"en","A man in his fifties reminisces about his childhood growing up in a Welsh mining village at the turn of the 20th century.","Drama"
"Suspicion",7.122,"1941-11-14",4500000,1103000,"en","Wealthy, sheltered Lina McLaidlaw is swept off her feet by charming ne'er-do-well Johnnie Aysgarth. Though warned that Johnnie is little more than a fortune hunter, Lina marries him anyway and remains loyal to her irresponsible husband as he plows his way from one disreputable business scheme to another. Gradually Lina comes to the conclusion that Johnnie intends to kill her in order to collect her inheritance.","Mystery, Romance, Thriller"
"To Be or Not to Be",7.9,"1942-03-05",1500000,1200000,"en","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy, War"
"Saboteur",6.889,"1942-04-24",1250000,780000,"en","Aircraft factory worker Barry Kane flees across the United States after he is wrongly accused of starting the fire that killed his best friend.","Thriller, Mystery"
"Grand Central Murder",5.905,"1942-05-01",515000,250000,"en","Conniving Broadway starlet Mida King has plenty of enemies, so when she's found murdered at Grand Central Station, Inspector Gunther calls together a slew of suspects for questioning. Mida's shady ex-flame, Turk, seems the most likely culprit, but when smart-mouthed private eye Rocky Custer -- also a suspect himself -- begins to piece together the crime, a few clues that Gunther has overlooked come to light.","Mystery, Crime, Comedy"
"The Big Shot",6.281,"1942-06-13",1783000,417000,"en","Duke Berne, former big shot but now a three-time loser, fears returning to crime because a fourth conviction will mean a life sentence. Finally, haunted by his past and goaded by his cohorts, he joins in planning an armoured car robbery.","Crime, Drama"
"Mrs. Miniver",7,"1942-07-03",13500000,1344000,"en","Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF.","Drama, Romance, War"
"Crossroads",6.129,"1942-07-23",2321000,846000,"en","A French diplomat who's recovered from amnesia is blackmailed over crimes he can't remember.","Crime, Mystery, Drama"
"Invisible Agent",5.9,"1942-08-07",1040000,322000,"en","The Invisible Man's grandson uses his secret formula to spy on Nazi Germany in this comedy-thriller.","Science Fiction, War, Horror"
"For Me and My Gal",6.432,"1942-10-21",4371000,802000,"en","Two vaudeville performers fall in love, but find their relationship tested by the arrival of WWI.","Music, Romance, War"
"The Black Swan",6.3,"1942-12-04",5727000,1493800,"en","When notorious pirate Henry Morgan is made governor of Jamaica, he enlists the help of some of his former partners in ridding the Caribbean of buccaneers. When one of them apparently abducts the previous governor's pretty daughter and joins up with the rebels, things are set for a fight.","Action, Adventure, Drama, Romance"
"Cat People",6.903,"1942-12-05",4000000,134000,"en","A Serbian émigré in Manhattan believes that, because of an ancient curse, any physical intimacy with the man she loves will turn her into a feline predator.","Mystery, Horror, Romance"
"Arabian Nights",5.9,"1942-12-25",3453416,904765,"en","Two half brothers battle each other for the power of the throne and the love of sensual, gorgeous dancing girl Scheherazade.","Action, Adventure, Comedy"
"Hitler's Children",5.8,"1943-01-06",3355000,205000,"en","This lurid exposé of the Hitler Youth follows the woes of an American girl declared legally German by the Nazi government.","Romance, War"
"Casablanca",8.164,"1943-01-15",10462500,878000,"en","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.","Drama, Romance"
"The Outlaw",5.5,"1943-02-05",5075000,3400000,"en","Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.","Western, Drama"
"Edge of Darkness",6.136,"1943-04-09",3669000,1653000,"en","The film pivots around the local Norwegian doctor and his family. The doctor's wife (Ruth Gordon) wants to hold on to the pretence of gracious living and ignore their German occupiers. The doctor, Martin Stensgard (Walter Huston), would also prefer to stay neutral, but is torn. His brother-in-law, the wealthy owner of the local fish cannery, collaborates with the Nazis. The doctor's daughter, Karen (Ann Sheridan), is involved with the resistance and with its leader Gunnar Brogge (Errol Flynn). The doctor's son has just returned to town, having been sent down from the university, and is soon influenced by his Nazi-sympathizer uncle. Captain Koenig (Helmut Dantine), the young German commandant of the occupying garrison, whose fanatic determination to do everything by the book and spoutings about the invincibility of the Reich hides a growing fear of a local uprising.","Drama, War"
"Five Graves to Cairo",6.93,"1943-05-26",1200000,855000,"en","The British Army, retreating ahead of victorious Rommel, leaves a lone survivor on the Egyptian border who finds refuge at a remote desert hotel. He is helped by the hotel's owner, despite protest from the French chambermaid, afraid of the imminent arrival of Rommel and the Germans. John assumes the identity of the recently deceased waiter to survive.","War, Thriller"
"Action in the North Atlantic",7,"1943-06-12",3460000,2231000,"en","Merchant Marine sailors Joe Rossi (Humphrey Bogart) and Steve Jarvis (Raymond Massey) are charged with getting a supply vessel to Russian allies as part of a sea convoy. When the group of ships comes under attack from a German U-boat, Rossi and Jarvis navigate through dangerous waters to evade Nazi naval forces. Though their mission across the Atlantic is extremely treacherous, they are motivated by the opportunity to strike back at the Germans, who sank one of their earlier ships.","War"
"For Whom the Bell Tolls",6.568,"1943-07-12",17800000,3000000,"en","Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.","War, Romance, History, Drama, Adventure"
"The Sky's the Limit",6.1,"1943-07-13",2185000,871000,"en","Flying Tiger Fred Atwell sneaks away from his famous squadron's personal appearance tour and goes incognito for several days of leave. He quickly falls for photographer Joan Manion, pursuing her in the guise of a carefree drifter.","Comedy, Romance, Music"
"Thank Your Lucky Stars",6.323,"1943-09-25",3621000,1568000,"en","An Eddie Cantor look-alike organizes an all-star show to help the war effort.","Comedy, Music"
"Best Foot Forward",6,"1943-10-08",2704000,1162000,"en","Bud Hooper, a cadet at Winsocki Military Academy, sends an invitation to movie star Lucille Ball to come to Winsocki's big dance. Ball's publicity-hungry agent convinces her to go in order to boost her career. Complications arise when Bud's girlfriend Helen Schlesinger unexpectedly shows up, too.","Comedy, Music"
"A Guy Named Joe",6.5,"1943-12-24",5363000,2627000,"en","A cocky Air Force pilot stationed in England during World War II falls for a daring female flier.  After he's killed on a mission, he is sent back to Earth by heavenly General with a new assignment.","Drama, Romance, War, Fantasy"
"Destination Tokyo",6.7,"1943-12-31",4544000,1516000,"en","During World War II, Captain Cassidy and his crew of submariners are ordered into Tokyo Bay on a secret mission. They are to gather information in advance of the planned bombing of Tokyo. Along the way, the crew learn about each other as they face the enemy and some of them lose their lives.","War"
"Lifeboat",7.4,"1944-01-28",1000000,1590000,"en","During World War II, a small group of survivors is stranded in a lifeboat together after the ship they were traveling on is destroyed by a German U-boat.","War, Drama"
"Bathing Beauty",5.7,"1944-06-27",6892000,2361000,"en","After breaking up with her fiancé, a gym teacher returns to work at a women's college, but a legal loophole allows him to enroll as one of her students.","Music, Comedy, Romance"
"Double Indemnity",8.117,"1944-07-06",2500000,927262,"en","A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.","Crime, Thriller"
"The Adventures of Mark Twain",6.6,"1944-07-20",2350000,1623000,"en","A dramatised life of Samuel Langhorn Clemens, or Mark Twain.","Adventure, Drama"
"The Seventh Cross",6.8,"1944-07-24",3600000,1300000,"en","In Nazi Germany in 1936 seven men escape from a concentration camp. The camp commander puts up seven crosses and, as the Gestapo returns each escapee he is put to death on a cross. The seventh cross is still empty as George Heisler seeks freedom in Holland.","Drama, Thriller, War"
"Wilson",5.7,"1944-08-01",2000000,2995000,"en","The political career of Woodrow Wilson is chronicled, beginning with his decision to leave his post at Princeton to run for Governor of New Jersey, and his subsequent ascent to the Presidency of the United States. During his terms in office, Wilson must deal with the death of his first wife, the onslaught of German hostilities leading to American involvement in the Great War, and his own country's reticence to join the League of Nations.","Drama, History, Music, Romance, Comedy"
"Laura",7.6,"1944-10-11",2000000,1020000,"en","A police detective falls in love with the woman whose murder he's investigating.","Drama, Mystery"
"Meet Me in St. Louis",7,"1944-11-28",7566000,1707561,"en","The life of a St. Louis family in the year before the 1904 St. Louis World's Fair.","Comedy, Drama, Romance, Family"
"National Velvet",7.298,"1945-01-26",5840000,2770000,"en","Mi Taylor is a young wanderer and opportunist who finds himself in the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse.","Drama, Family"
"Hangover Square",6.777,"1945-02-07",1798500,1154000,"en","When composer George Harvey Bone wakes with no memory of the previous night and a bloody knife in his pocket, he worries that he has committed a crime. On the advice of Dr. Middleton, Bone agrees to relax, going to a music performance by singer Netta Longdon. Riveted by Netta, Bone agrees to write songs for her rather than his own concerto. However, Bone soon grows jealous of Netta and worries about controlling himself during his spells.","Thriller"
"The Valley of Decision",7.5,"1945-05-03",9132000,2160000,"en","Mary Rafferty comes from a poor family of steel mill workers in 19th Century Pittsburgh. Her family objects when she goes to work as a maid for the wealthy Scott family which controls the mill. Mary catches the attention of handsome scion Paul Scott, but their romance is complicated by Paul's engagement to someone else and a bitter strike among the mill workers.","Drama, Romance"
"Conflict",6.525,"1945-06-15",3707000,774000,"en","Unhappily married Richard Mason concocts a meticulous scheme to kill his shrewish wife so that he'll be free to marry her sister.","Thriller"
