Kode Transaksi,Timestamp,Kode Barang,Nama Barang,Jumlah,Harga Jual,Total
48522020230103081233,2023-01-03 8:12:33,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230103081320,2023-01-03 8:13:20,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230103081320,2023-01-03 8:13:20,rgltrmedicallotus,Regulator Medical Lotus,1,"350.000,00","350.000,00"
48522020230103081529,2023-01-03 8:15:29,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230103092759,2023-01-03 9:27:59,mitsg3,Mitela kain segitiga,1,"6.000,00","6.000,00"
48522020230103092856,2023-01-03 9:28:56,mitsg3,Mitela kain segitiga,5,"6.000,00","30.000,00"
48522020230103092957,2023-01-03 9:29:57,al961L,Alkohol 96% 1liter,1,"32.000,00","32.000,00"
48522020230103093051,2023-01-03 9:30:51,pspotplstik,Pispot plastik biru,1,"34.000,00","34.000,00"
48522020230103105929,2023-01-03 10:59:29,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230103132023,2023-01-03 13:20:23,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230103134618,2023-01-03 13:46:18,O21m3,Isi oksigen 1m3,3,"70.000,00","210.000,00"
48522020230103134648,2023-01-03 13:46:48,Co6,isi tabung co2 6m3,1,"350.000,00","350.000,00"
48522020230103141655,2023-01-03 14:16:55,pispottutup,Pispot laki laki tutup onemed,1,"20.000,00","20.000,00"
48522020230103154535,2023-01-03 15:45:35,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230103154608,2023-01-03 15:46:08,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230104101419,2023-01-04 10:14:19,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230104101419,2023-01-04 10:14:19,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230104101437,2023-01-04 10:14:37,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230104114026,2023-01-04 11:40:26,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230104114727,2023-01-04 11:47:27,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230104114727,2023-01-04 11:47:27,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230104131753,2023-01-04 13:17:53,t026m3,Tabung oksigen 6m3,2,"1.900.000,00","3.800.000,00"
48522020230104131839,2023-01-04 13:18:39,026m3,Isi oksigen 6m3,2,"125.000,00","250.000,00"
48522020230104131839,2023-01-04 13:18:39,150cm,"Isi tabung 1,5meter",1,"100.000,00","100.000,00"
48522020230104132038,2023-01-04 13:20:38,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230104132435,2023-01-04 13:24:35,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230104132709,2023-01-04 13:27:09,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230104132729,2023-01-04 13:27:29,N26m3,isi tabung nitrogen6m3,1,"200.000,00","200.000,00"
48522020230104132950,2023-01-04 13:29:50,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230104133920,2023-01-04 13:39:20,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230104134445,2023-01-04 13:44:45,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230104144512,2023-01-04 14:45:12,mic1,"Micropour 1/2""",2,"7.000,00","14.000,00"
48522020230104164705,2023-01-04 16:47:05,tnsmtrdgtlywl,Tensi yuwell YE660B,1,"260.000,00","260.000,00"
48522020230105084455,2023-01-05 8:44:55,t026m3,Tabung oksigen 6m3,1,"1.900.000,00","1.900.000,00"
48522020230105084455,2023-01-05 8:44:55,reg,Regulator biasa,1,"350.000,00","350.000,00"
48522020230105084530,2023-01-05 8:45:30,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105084530,2023-01-05 8:45:30,Geacan,Selang gea canul,1,"15.000,00","15.000,00"
48522020230105084556,2023-01-05 8:45:56,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105091959,2023-01-05 9:19:59,Mdcrpe,Medicrepe 3',2,"11.000,00","22.000,00"
48522020230105093839,2023-01-05 9:38:39,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230105093839,2023-01-05 9:38:39,Tasbwa,Tasbih digital + wadah,1,"12.000,00","12.000,00"
48522020230105115629,2023-01-05 11:56:29,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105122307,2023-01-05 12:23:07,torniqt,Tourniquet onemed,2,"13.500,00","27.000,00"
48522020230105123652,2023-01-05 12:36:52,alkhol1lt,Alkohol 70% 1liter,1,"27.000,00","27.000,00"
48522020230105123652,2023-01-05 12:36:52,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230105123840,2023-01-05 12:38:40,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230105125924,2023-01-05 12:59:24,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105125924,2023-01-05 12:59:24,Geacan,Selang gea canul,1,"15.000,00","15.000,00"
48522020230105125956,2023-01-05 12:59:56,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105132315,2023-01-05 13:23:15,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230105132642,2023-01-05 13:26:42,clnkitan,Celana khitan v.mahal(S),2,"15.000,00","30.000,00"
48522020230105133513,2023-01-05 13:35:13,sinohearth,Tensi digital sinohearth,1,"225.000,00","225.000,00"
48522020230105133513,2023-01-05 13:35:13,esytchgcu,Easytouch GCU,1,"220.000,00","220.000,00"
48522020230105133513,2023-01-05 13:35:13,alkswonemed,Alkohol swabs onemed,1,"12.000,00","12.000,00"
48522020230105141124,2023-01-05 14:11:24,Kuning,Medline kuning,2,"7.500,00","15.000,00"
48522020230105141124,2023-01-05 14:11:24,Lila,Pita Lila,1,"5.000,00","5.000,00"
48522020230105141124,2023-01-05 14:11:24,penlghtonemed,Pen light onemed,1,"39.000,00","39.000,00"
48522020230105141124,2023-01-05 14:11:24,snelchart,Snellen chart,2,"6.500,00","13.000,00"
48522020230105152258,2023-01-05 15:22:58,Hexahidro,Kasa hexa husada hidrophile,6,"4.000,00","24.000,00"
48522020230105152258,2023-01-05 15:22:58,thermogunhow,Thermogun hoowreadycare,1,"75.000,00","75.000,00"
48522020230105152258,2023-01-05 15:22:58,alkswonemed,Alkohol swabs onemed,1,"12.000,00","12.000,00"
48522020230105152258,2023-01-05 15:22:58,Spateka,Tong spatel kayu onemed isi 50pcs,1,"13.500,00","13.500,00"
48522020230105152344,2023-01-05 15:23:44,Uklemonmd,U-klem onemed,2,"35.000,00","70.000,00"
48522020230105152548,2023-01-05 15:25:48,timbjrumgea,Timbangan jarum gea,1,"98.000,00","98.000,00"
48522020230106084958,2023-01-06 8:49:58,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230106085035,2023-01-06 8:50:35,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230106085102,2023-01-06 8:51:02,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230106111814,2023-01-06 11:18:14,Bak509,Bak 509,1,"86.000,00","86.000,00"
48522020230106111814,2023-01-06 11:18:14,Marwapin,Pinset anatomis marwa,1,"13.500,00","13.500,00"
48522020230106111814,2023-01-06 11:18:14,Chirmar,Pinset chirugis marwa,1,"13.500,00","13.500,00"
48522020230106111814,2023-01-06 11:18:14,Uklmrnz14cm,U-klem renz 14cm,2,"47.500,00","95.000,00"
48522020230106111814,2023-01-06 11:18:14,Renzlurus,Gt iris lurus renz,1,"21.000,00","21.000,00"
48522020230106111814,2023-01-06 11:18:14,mosqubengonemed,Mosquito bengkok onemed,2,"21.000,00","42.000,00"
48522020230106111814,2023-01-06 11:18:14,tajamtumpularugamed,GT tajam tumpul arugamed,1,"23.000,00","23.000,00"
48522020230106111814,2023-01-06 11:18:14,Handel3mar,Scalpel Handel marwa No 3,1,"13.500,00","13.500,00"
48522020230106111932,2023-01-06 11:19:32,Rktbungrksi,Rak tabung reaksi 12 lubang,1,"20.000,00","20.000,00"
48522020230106111932,2023-01-06 11:19:32,pyrex16x150,Tabung reaksi 16x150cc pyrex,12,"6.500,00","78.000,00"
48522020230106111932,2023-01-06 11:19:32,ppetplstik16cm,Pipet plastik 3 ml,3,500,"1.500,00"
48522020230106112102,2023-01-06 11:21:02,Marwapin,Pinset anatomis marwa,1,"13.500,00","13.500,00"
48522020230106112102,2023-01-06 11:21:02,Pinanaaru,Pinset anatomis arugamed,1,"12.500,00","12.500,00"
48522020230106112102,2023-01-06 11:21:02,uphectingrenz,Up hecting renz,1,"27.000,00","27.000,00"
48522020230106120553,2023-01-06 12:05:53,Kacapem,Kaca pembesar,1,"21.000,00","21.000,00"
48522020230106121727,2023-01-06 12:17:27,Bola,Bola kesehatan,1,"12.000,00","12.000,00"
48522020230106121839,2023-01-06 12:18:39,btgpngdukspatulakca,Batang pengaduk spatula kaca 30cm,1,"6.000,00","6.000,00"
48522020230106122003,2023-01-06 12:20:03,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230106122003,2023-01-06 12:20:03,O26m3part2,Isi tabung O26m3 part 2,6,"125.000,00","750.000,00"
48522020230106134231,2023-01-06 13:42:31,bkergls1000ml,Beker glass 1000 ml pyrex,1,"85.000,00","85.000,00"
48522020230106134231,2023-01-06 13:42:31,btgspakca25cm,Batang pengaduk spatula kaca 25 cm,1,"5.000,00","5.000,00"
48522020230106134231,2023-01-06 13:42:31,pipetberkala,Pipet kaca 2ml,1,"15.000,00","15.000,00"
48522020230106134231,2023-01-06 13:42:31,Nirbeken20,Nirbeken 20cm,3,"37.000,00","111.000,00"
48522020230106134231,2023-01-06 13:42:31,tianginfsmrh,Tiang Infus besi v murah,4,"115.000,00","460.000,00"
48522020230106134231,2023-01-06 13:42:31,trolly1meter,trolly 1m3,1,"65.000,00","65.000,00"
48522020230106134323,2023-01-06 13:43:23,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230106134348,2023-01-06 13:43:48,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230107081714,2023-01-07 8:17:14,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230107081809,2023-01-07 8:18:09,Spateka,Tong spatel kayu onemed isi 50pcs,1,"13.500,00","13.500,00"
48522020230107082110,2023-01-07 8:21:10,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230107083025,2023-01-07 8:30:25,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230107110637,2023-01-07 11:06:37,O26m3part2,Isi tabung O26m3 part 2,2,"125.000,00","250.000,00"
48522020230107111433,2023-01-07 11:14:33,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230107142234,2023-01-07 14:22:34,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230107142234,2023-01-07 14:22:34,canulcosmomed,Selang canul cosmomed,1,"15.000,00","15.000,00"
48522020230107150157,2023-01-07 15:01:57,Tonguespatelubang,Tongue spatel lubang,1,"16.000,00","16.000,00"
48522020230107150310,2023-01-07 15:03:10,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230107150634,2023-01-07 15:06:34,Tonguespatelubang,Tongue spatel lubang,1,"16.000,00","16.000,00"
48522020230107155527,2023-01-07 15:55:27,tip20ml,Catether tip nipro 20ml,2,"5.000,00","10.000,00"
48522020230109121741,2023-01-09 12:17:41,t021m3,Tabung oksigen 1m3,1,"700.000,00","700.000,00"
48522020230109121741,2023-01-09 12:17:41,reg,Regulator biasa,1,"350.000,00","350.000,00"
48522020230109121838,2023-01-09 12:18:38,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230109121838,2023-01-09 12:18:38,canulcosmomed,Selang canul cosmomed,1,"15.000,00","15.000,00"
48522020230109122112,2023-01-09 12:21:12,O26m3part2,Isi tabung O26m3 part 2,3,"125.000,00","375.000,00"
48522020230109122133,2023-01-09 12:21:33,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230109122155,2023-01-09 12:21:55,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230109122336,2023-01-09 12:23:36,Ar6m3,Isi tabung argon 6m3,2,"400.000,00","800.000,00"
48522020230109131145,2023-01-09 13:11:45,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230109143657,2023-01-09 14:36:57,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230109143657,2023-01-09 14:36:57,Dekperta,Deker pergelangan tangan,1,"7.000,00","7.000,00"
48522020230109143723,2023-01-09 14:37:23,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230109145225,2023-01-09 14:52:25,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230109145225,2023-01-09 14:52:25,ishara,Buku ishihara's,1,"35.000,00","35.000,00"
48522020230109145342,2023-01-09 14:53:42,torniqt,Tourniquet onemed,1,"13.500,00","13.500,00"
48522020230109145342,2023-01-09 14:53:42,Bola,Bola kesehatan,1,"12.000,00","12.000,00"
48522020230109145342,2023-01-09 14:53:42,gelmta,Gelas mata,1,"2.500,00","2.500,00"
48522020230109145516,2023-01-09 14:55:16,Nonmerkun,Deker pergelangan kaki non merk,1,"10.500,00","10.500,00"
48522020230109145516,2023-01-09 14:55:16,Dektelta,Deker telapak tangan,1,"10.000,00","10.000,00"
48522020230109145600,2023-01-09 14:56:00,pyrex16x150,Tabung reaksi 16x150cc pyrex,1,"6.500,00","6.500,00"
48522020230109145941,2023-01-09 14:59:41,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230110082453,2023-01-10 8:24:53,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230110082532,2023-01-10 8:25:32,canulcosmomed,Selang canul cosmomed,1,"15.000,00","15.000,00"
48522020230110090341,2023-01-10 9:03:41,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230110090410,2023-01-10 9:04:10,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230110090424,2023-01-10 9:04:24,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230110090439,2023-01-10 9:04:39,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230110091104,2023-01-10 9:11:04,Bola,Bola kesehatan,1,"12.000,00","12.000,00"
48522020230110091421,2023-01-10 9:14:21,schnd4mrwa,Scalpel handle no.4 marwa,1,"13.500,00","13.500,00"
48522020230110093908,2023-01-10 9:39:08,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230110121031,2023-01-10 12:10:31,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230110121127,2023-01-10 12:11:27,Co6,isi tabung co2 6m3,1,"350.000,00","350.000,00"
48522020230110130336,2023-01-10 13:03:36,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230110134559,2023-01-10 13:45:59,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230110134725,2023-01-10 13:47:25,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230110140242,2023-01-10 14:02:42,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230110140328,2023-01-10 14:03:28,Bola,Bola kesehatan,1,"12.000,00","12.000,00"
48522020230110140508,2023-01-10 14:05:08,cawan50,Cawan 50ml,1,"18.500,00","18.500,00"
48522020230110140558,2023-01-10 14:05:58,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230110152513,2023-01-10 15:25:13,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230110152513,2023-01-10 15:25:13,canulcosmomed,Selang canul cosmomed,1,"15.000,00","15.000,00"
48522020230111112814,2023-01-11 11:28:14,t026m3,Tabung oksigen 6m3,1,"1.900.000,00","1.900.000,00"
48522020230111112835,2023-01-11 11:28:35,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230111113516,2023-01-11 11:35:16,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113543,2023-01-11 11:35:43,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113555,2023-01-11 11:35:55,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113612,2023-01-11 11:36:12,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113612,2023-01-11 11:36:12,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230111113844,2023-01-11 11:38:44,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113912,2023-01-11 11:39:12,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111113952,2023-01-11 11:39:52,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111114149,2023-01-11 11:41:49,O21-5m,"Isi tabung oksigen 1,5 m",1,"90.000,00","90.000,00"
48522020230111123904,2023-01-11 12:39:04,O26m3part2,Isi tabung O26m3 part 2,2,"125.000,00","250.000,00"
48522020230111133904,2023-01-11 13:39:04,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111135238,2023-01-11 13:52:38,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230111135238,2023-01-11 13:52:38,canulcosmomed,Selang canul cosmomed,1,"15.000,00","15.000,00"
48522020230111135419,2023-01-11 13:54:19,pispottutup,Pispot laki laki tutup onemed,1,"20.000,00","20.000,00"
48522020230111135507,2023-01-11 13:55:07,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230111135559,2023-01-11 13:55:59,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230111150337,2023-01-11 15:03:37,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230112084349,2023-01-12 8:43:49,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084528,2023-01-12 8:45:28,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084554,2023-01-12 8:45:54,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084612,2023-01-12 8:46:12,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084627,2023-01-12 8:46:27,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230112084627,2023-01-12 8:46:27,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084642,2023-01-12 8:46:42,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230112084906,2023-01-12 8:49:06,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230112092040,2023-01-12 9:20:40,Hexahidro,Kasa hexa husada hidrophile,4,"4.000,00","16.000,00"
48522020230112092040,2023-01-12 9:20:40,alkhol100ml,Alkohol 70 % 100 ml,1,"4.000,00","4.000,00"
48522020230112092040,2023-01-12 9:20:40,mic1,"Micropour 1/2""",4,"7.000,00","28.000,00"
48522020230112092122,2023-01-12 9:21:22,ultflx10,Ultrafix onemed 10*5,1,"27.000,00","27.000,00"
48522020230112092122,2023-01-12 9:21:22,ultflx5,Ultrafix onemed 5*5,1,"15.000,00","15.000,00"
48522020230112092230,2023-01-12 9:22:30,gelmta,Gelas mata,8,"2.500,00","20.000,00"
48522020230112092259,2023-01-12 9:22:59,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230112110808,2023-01-12 11:08:08,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112110825,2023-01-12 11:08:25,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112110849,2023-01-12 11:08:49,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112110904,2023-01-12 11:09:04,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112110940,2023-01-12 11:09:40,blmphlips,Bolam philips,1,"250.000,00","250.000,00"
48522020230112111151,2023-01-12 11:11:51,mdksst,Medikasi Set,1,"280.000,00","280.000,00"
48522020230112111151,2023-01-12 11:11:51,Kom8,Kom iodine 8cm,1,"28.000,00","28.000,00"
48522020230112112319,2023-01-12 11:23:19,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230112122331,2023-01-12 12:23:31,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112132758,2023-01-12 13:27:58,Bola,Bola kesehatan,1,"12.000,00","12.000,00"
48522020230112132836,2023-01-12 13:28:36,schnd4mrwa,Scalpel handle no.4 marwa,1,"13.500,00","13.500,00"
48522020230112133844,2023-01-12 13:38:44,Co6,isi tabung co2 6m3,1,"350.000,00","350.000,00"
48522020230112140330,2023-01-12 14:03:30,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230112154500,2023-01-12 15:45:00,kaki3avico,Tongkat kaki 3 avico,1,"130.000,00","130.000,00"
48522020230112154928,2023-01-12 15:49:28,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230113085134,2023-01-13 8:51:34,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230113090248,2023-01-13 9:02:48,t026m3,Tabung oksigen 6m3,1,"1.900.000,00","1.900.000,00"
48522020230113090308,2023-01-13 9:03:08,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230113090336,2023-01-13 9:03:36,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230113090732,2023-01-13 9:07:32,Selangnebu,Selang nebulizer gea,1,"22.000,00","22.000,00"
48522020230113091033,2023-01-13 9:10:33,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230113091033,2023-01-13 9:10:33,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230113091053,2023-01-13 9:10:53,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230113091110,2023-01-13 9:11:10,Ar6m3,Isi tabung argon 6m3,1,"400.000,00","400.000,00"
48522020230113111823,2023-01-13 11:18:23,Hexahidro,Kasa hexa husada hidrophile,6,"4.000,00","24.000,00"
48522020230113111823,2023-01-13 11:18:23,rvnol100ml,Rivanol 100 ml,2,"4.000,00","8.000,00"
48522020230113130641,2023-01-13 13:06:41,kursiridasellaco,Kursi roda standart sellaco,1,"1.300.000,00","1.300.000,00"
48522020230113130910,2023-01-13 13:09:10,N26m3,isi tabung nitrogen6m3,1,"200.000,00","200.000,00"
48522020230113130930,2023-01-13 13:09:30,Co6,isi tabung co2 6m3,1,"350.000,00","350.000,00"
48522020230113132601,2023-01-13 13:26:01,tip20ml,Catether tip nipro 20ml,2,"5.000,00","10.000,00"
48522020230113134618,2023-01-13 13:46:18,O21-5m,"Isi tabung oksigen 1,5 m",1,"90.000,00","90.000,00"
48522020230113150003,2023-01-13 15:00:03,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230113152634,2023-01-13 15:26:34,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230113152656,2023-01-13 15:26:56,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230114084000,2023-01-14 8:40:00,O21m3,Isi oksigen 1m3,3,"70.000,00","210.000,00"
48522020230114101638,2023-01-14 10:16:38,guladarah,Autocheck strip guladarah,1,"83.000,00","83.000,00"
48522020230114121112,2023-01-14 12:11:12,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230114121135,2023-01-14 12:11:35,026m3,Isi oksigen 6m3,2,"125.000,00","250.000,00"
48522020230114121152,2023-01-14 12:11:52,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230114121207,2023-01-14 12:12:07,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230114121318,2023-01-14 12:13:18,btgpngdukkca30,Batang pengaduk kaca 30 cm,1,"5.000,00","5.000,00"
48522020230114121415,2023-01-14 12:14:15,alkhol1lt,Alkohol 70% 1liter,1,"27.000,00","27.000,00"
48522020230114121533,2023-01-14 12:15:33,gelasukur5mlpy,Gelas ukur 5ml pyrex,1,"32.500,00","32.500,00"
48522020230114121533,2023-01-14 12:15:33,pngdukkca15cm,Batang pengaduk kaca 15 cm,1,"4.000,00","4.000,00"
48522020230114121533,2023-01-14 12:15:33,cawan1,Cawan 35ml,1,"13.500,00","13.500,00"
48522020230114121652,2023-01-14 12:16:52,btgpngdukspatla20cm,Batang pengaduk spatula kaca 20 cm,1,"5.000,00","5.000,00"
48522020230114135736,2023-01-14 13:57:36,O21m3,Isi oksigen 1m3,2,"70.000,00","140.000,00"
48522020230114135736,2023-01-14 13:57:36,O26m3part2,Isi tabung O26m3 part 2,2,"125.000,00","250.000,00"
48522020230114135736,2023-01-14 13:57:36,rgltrmedicallotus,Regulator Medical Lotus,1,"350.000,00","350.000,00"
